day,repayment_cume,repayment_30d,writedown_cume,writedown_cume_30d_ago,deposit_cume,deposit_cume_30d_ago,interest_cume,interest_cume_30d_ago,withdrawal_cume,withdrawal_cume_30d_ago,loans_outstanding,tvl,utilitization,apy_30d,gains_cume,gains_30d,reserve_cume,reserve_30d
2021-10-14,"281,144.30",114981.2598,0,0,50936021.7,29955776.6,276699.0271,161717.8175,8094978.772,2534663.18,"12,743,768.74","36,120,263.95",35.28,5.087534,"276,699.03",114981.2097,70698.19673,40056.23448
2021-10-13,"281,144.30",114981.2598,0,0,50928365.7,29955165.96,276699.0271,161717.8175,8014978.772,2533968.19,"12,743,768.74","36,192,607.95",35.21,5.080844,"276,699.03",114981.2097,70298.19673,39659.70943
2021-10-12,"281,144.30",114981.2598,0,0,50830551.41,29862618.34,276699.0271,161717.8175,7947032.412,2531868.19,"12,743,768.74","36,162,740.03",35.24,5.091967,"276,699.03",114981.2097,69958.46493,39330.47763
2021-10-11,"281,144.30",114981.2598,0,0,50536122.6,29653161.46,276699.0271,161717.8175,5382503.562,2231963.06,"12,743,768.74","38,432,840.07",33.16,4.882264,"276,699.03",114981.2097,57135.82068,28007.35903
2021-10-10,"281,144.30",114981.2598,0,0,50508719.84,29318694.26,276699.0271,161717.8175,5381003.562,2227568.11,"12,743,768.74","38,406,937.30",33.18,4.912775,"276,699.03",114981.2097,57128.32068,28021.83378
2021-10-09,"279,479.92",113316.8801,0,0,50446542.74,29221304.92,275034.6545,161717.8175,5344760.862,2159968.11,"12,743,768.75","38,379,338.53",33.2,4.844847,"275,034.65",113316.837,56762.17688,27993.68999
2021-10-08,"279,479.92",113316.8801,0,0,50265005.17,29138407.92,275034.6545,161717.8175,5233683.002,2156468.11,"12,743,768.75","38,308,878.83",33.27,4.857635,"275,034.65",113316.837,56206.78758,27455.80069
2021-10-07,"279,479.92",113316.8801,0,0,50088053.29,29112765.89,275034.6545,161717.8175,5206445.072,1997268.83,"12,743,768.75","38,159,164.87",33.4,4.859018,"275,034.65",113316.837,56070.59793,28115.60744
2021-10-06,"242,198.91",97783.82333,0,0,50030227.29,28919265.89,237753.6647,139969.8667,5183393.052,1498067.56,"12,743,768.76","38,087,109.90",33.46,4.160587,"237,753.66",97783.79798,51813.00564,28770.46046
2021-10-05,"242,198.91",97783.82333,0,0,50024740.4,28912765.89,237753.6647,139969.8667,4656719.962,1491567.56,"12,743,768.76","38,608,296.11",33.01,4.123017,"237,753.66",97783.79798,49179.64019,26169.59501
2021-10-04,"242,198.91",97783.82333,0,0,49880806.59,28911763.89,237753.6647,139969.8667,4558091.874,1491567.56,"12,743,768.76","38,562,990.38",33.05,4.126328,"237,753.66",97783.79798,49041.64964,26031.60446
2021-10-03,"180,587.71",36172.62059,0,0,49794080.25,28911758.99,176142.4794,139969.8667,4550731.454,1490565.53,"12,743,768.78","38,422,013.28",33.17,1.510639,"176,142.48",36172.61266,42159.16028,19154.12526
2021-10-02,"180,587.71",36172.62059,0,0,49780168.97,24031249.12,176142.4794,139969.8667,4542090.574,1490565.53,"12,743,768.78","38,416,742.88",33.17,1.6489,"176,142.48",36172.61266,42115.95588,19110.92086
2021-10-01,"180,587.71",36172.62059,0,0,47169338.97,24022249.12,176142.4794,139969.8667,4529975.334,1476050.98,"12,743,768.78","35,818,028.12",35.58,1.733089,"176,142.48",36172.61266,42055.37968,19122.91741
2021-09-30,"180,587.71",36172.62059,0,0,47119716.12,24022249.12,176142.4794,139969.8667,4293473.194,1476050.98,"12,743,768.78","36,004,907.40",35.39,1.726736,"176,142.48",36172.61266,40872.86898,17940.40671
2021-09-29,"166,163.05",37836.98559,0,0,46845380.74,21743350.35,161717.8263,123880.8409,4074530.194,1360456.65,"12,743,768.79","35,935,090.37",35.46,1.889092,"161,717.83",37836.98531,38175.41475,17608.59365
2021-09-28,"166,163.05",44612.23059,0,0,46659003.33,21708146.35,161717.8263,117105.5959,4057994.474,1325252.27,"12,743,768.79","35,765,248.68",35.63,2.238611,"161,717.83",44612.23031,38092.73615,18454.74195
2021-09-27,"166,163.05",44612.23059,0,0,46580878.88,21708146.35,161717.8263,117105.5959,4044994.474,1325252.27,"12,743,768.79","35,700,124.23",35.7,2.241621,"161,717.83",44612.23031,38027.73615,18389.74195
2021-09-26,"166,163.05",44612.23059,0,0,46409047.25,21507910.35,161717.8263,117105.5959,3936384.344,1125015.95,"12,743,768.79","35,636,902.73",35.76,2.244551,"161,717.83",44612.23031,37484.6855,18847.8729
